title,description,search
"ESCU - Detect attackers scanning for vulnerable JBoss servers - Rule","This search looks for specific GET or HEAD requests to web servers that are indicative of reconnaissance attempts to identify vulnerable JBoss servers. JexBoss is described as the exploit tool of choice for this malicious activity.","
 tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime from datamodel=Web where (Web.http_method=""GET"" OR Web.http_method=""HEAD"") AND (Web.url=""*/web-console/ServerInfo.jsp*"" OR Web.url=""*web-console*"" OR Web.url=""*jmx-console*"" OR Web.url = ""*invoker*"") by Web.http_method, Web.url, Web.src, Web.dest 
 `drop_dm_object_name(""Web"")` 
 `security_content_ctime(firstTime)` 
 `security_content_ctime(lastTime)` 
 `detect_attackers_scanning_for_vulnerable_jboss_servers_filter`"
"ESCU - Detect DNS requests to Phishing Sites leveraging EvilGinx2 - Rule","This search looks for DNS requests for phishing domains that are leveraging EvilGinx tools to mimic websites.","
 tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime values(DNS.answer) as answer from datamodel=Network_Resolution.DNS by DNS.dest DNS.src DNS.query host 
 `drop_dm_object_name(DNS)`
 rex field=query "".*?(?<domain>[^./:]+\.(\S{2,3}
\S{2,3}.\S{2,3}))$"" 
 stats count values(query) as query by domain dest src answer
 search `evilginx_phishlets_amazon` OR `evilginx_phishlets_facebook` OR `evilginx_phishlets_github` OR `evilginx_phishlets_0365` OR `evilginx_phishlets_outlook` OR `evilginx_phishlets_aws` OR `evilginx_phishlets_google` 
 search NOT [ inputlookup legit_domains.csv 
 fields domain]
 join domain type=outer [
 tstats count `security_content_summariesonly` values(Web.url) as url from datamodel=Web.Web by Web.dest Web.site 
 rename ""Web.*"" as * 
 rex field=site "".*?(?<domain>[^./:]+\.(\S{2,3}
\S{2,3}.\S{2,3}))$"" 
 table dest domain url] 
 table count src dest query answer domain url 
 `detect_dns_requests_to_phishing_sites_leveraging_evilginx2_filter`"
"ESCU - Detect Excessive Account Lockouts From Endpoint - Rule","This search identifies endpoints that have caused a relatively high number of account lockouts in a short period.","
 tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime values(All_Changes.user) as user from datamodel=Change.All_Changes where nodename=All_Changes.Account_Management All_Changes.result=""lockout"" by All_Changes.dest All_Changes.result 
`drop_dm_object_name(""All_Changes"")` 
`drop_dm_object_name(""Account_Management"")`
 `security_content_ctime(firstTime)` 
 `security_content_ctime(lastTime)` 
 search count > 5 
 `detect_excessive_account_lockouts_from_endpoint_filter`"
"ESCU - Detect Excessive User Account Lockouts - Rule","This search detects user accounts that have been locked out a relatively high number of times in a short period.","
 tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime from datamodel=Change.All_Changes where nodename=All_Changes.Account_Management All_Changes.result=""lockout"" by All_Changes.user All_Changes.result 
`drop_dm_object_name(""All_Changes"")` 
`drop_dm_object_name(""Account_Management"")`
 `security_content_ctime(firstTime)` 
 `security_content_ctime(lastTime)` 
 search count > 5 
 `detect_excessive_user_account_lockouts_filter`"
"ESCU - Detect hosts connecting to dynamic domain providers - Rule","Malicious actors often abuse legitimate Dynamic DNS services to host malicious payloads or interactive command and control nodes. Attackers will automate domain resolution changes by routing dynamic domains to countless IP addresses to circumvent firewall blocks, blacklists as well as frustrate a network defenders analytic and investigative processes. This search will look for DNS queries made from within your infrastructure to suspicious dynamic domains.","
 tstats `security_content_summariesonly` count values(DNS.answer) as answer min(_time) as firstTime from datamodel=Network_Resolution by DNS.src, DNS.query 
 `drop_dm_object_name(""DNS"")` 
 `security_content_ctime(firstTime)` 
 `dynamic_dns_providers` 
 `detect_hosts_connecting_to_dynamic_domain_providers_filter`         
 collect index=asx sourcetype=asx marker=""execution_type=adhoc, execution_time=1604093561.9819374"""
"ESCU - Detect Large Outbound ICMP Packets - Rule","This search looks for outbound ICMP packets with a packet size larger than 1,000 bytes. Various threat actors have been known to use ICMP as a command and control channel for their attack infrastructure. Large ICMP packets from an endpoint to a remote host may be indicative of this activity.","
 tstats `security_content_summariesonly` count earliest(_time) as firstTime latest(_time) as lastTime values(All_Traffic.action) values(All_Traffic.bytes) from datamodel=Network_Traffic where All_Traffic.action !=blocked All_Traffic.dest_category !=internal (All_Traffic.protocol=icmp OR All_Traffic.transport=icmp) All_Traffic.bytes > 1000 by All_Traffic.src_ip All_Traffic.dest_ip 
 `drop_dm_object_name(""All_Traffic"")` 
 search ( dest_ip!=10.0.0.0/8 AND dest_ip!=172.16.0.0/12 AND dest_ip!=192.168.0.0/16) 
 `security_content_ctime(firstTime)`
`security_content_ctime(lastTime)` 
 `detect_large_outbound_icmp_packets_filter`"
"ESCU - Detect Long DNS TXT Record Response - Rule","This search is used to detect attempts to use DNS tunneling, by calculating the length of responses to DNS TXT queries. Endpoints using DNS as a method of transmission for data exfiltration, command and control, or evasion of security controls can often be detected by noting unusually large volumes of DNS traffic.","
 tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime from datamodel=Network_Resolution where DNS.message_type=response AND DNS.record_type=TXT by DNS.src DNS.dest DNS.answer DNS.record_type 
`drop_dm_object_name(""DNS"")` 
 eval anslen=len(answer) 
 search anslen>100 
 `security_content_ctime(firstTime)` 
 `security_content_ctime(lastTime)` 
 rename src as ""Source IP"", dest as ""Destination IP"", answer as ""DNS Answer"" anslen as ""Answer Length"" record_type as ""DNS Record Type"" firstTime as ""First Time"" lastTime as ""Last Time"" count as Count 
 table ""Source IP"" ""Destination IP"" ""DNS Answer"" ""DNS Record Type""  ""Answer Length"" Count ""First Time"" ""Last Time"" 
 `detect_long_dns_txt_record_response_filter`         
 collect index=asx sourcetype=asx marker=""mitre_id=T1071.004, execution_type=adhoc, execution_time=1604093561.9819374"""
"ESCU - Detect malicious requests to exploit JBoss servers - Rule","This search is used to detect malicious HTTP requests crafted to exploit jmx-console in JBoss servers. The malicious requests have a long URL length, as the payload is embedded in the URL.","
 tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime from datamodel=Web where (Web.http_method=""GET"" OR Web.http_method=""HEAD"") by Web.http_method, Web.url,Web.url_length Web.src, Web.dest 
 search Web.url=""*jmx-console/HtmlAdaptor?action=invokeOpByName&name=jboss.admin*import*"" AND Web.url_length > 200 
 `drop_dm_object_name(""Web"")` 
 `security_content_ctime(firstTime)` 
 `security_content_ctime(lastTime)` 
 table src, dest_ip, http_method, url, firstTime, lastTime 
 `detect_malicious_requests_to_exploit_jboss_servers_filter`"
"ESCU - Detect mshta exe running scripts in command-line arguments - Rule","This search looks for the execution of ""mshta.exe"" with command-line arguments that launch a script. The search will return the first time and last time these command-line arguments were used for these executions, as well as the target system, the user, process ""mshta.exe"" and its parent process.","
 tstats `security_content_summariesonly` count values(Processes.process) as process values(Processes.parent_process) as parent_process min(_time) as firstTime max(_time) as lastTime from datamodel=Endpoint.Processes where Processes.process_name=mshta.exe (Processes.process=*vbscript* OR Processes.process=*javascript*) by Processes.user Processes.process_name Processes.parent_process_name Processes.dest  
 `drop_dm_object_name(Processes)` 
 `security_content_ctime(firstTime)`
 `security_content_ctime(lastTime)`
 search (process=*vbscript* OR process=*javascript*) 
 `detect_mshta_exe_running_scripts_in_command_line_arguments_filter`"
"ESCU - Detect New Login Attempts to Routers - Rule","The search queries the authentication logs for assets that are categorized as routers in the ES Assets and Identity Framework, to identify connections that have not been seen before in the last 30 days.","
 tstats `security_content_summariesonly` count earliest(_time) as earliest latest(_time) as latest from datamodel=Authentication where Authentication.dest_category=router by Authentication.dest Authentication.user
 eval isOutlier=if(earliest >= relative_time(now(), ""-30d@d""), 1, 0) 
 where isOutlier=1
 `security_content_ctime(earliest)`
 `security_content_ctime(latest)` 
 `drop_dm_object_name(""Authentication"")` 
 `detect_new_login_attempts_to_routers_filter`"
"ESCU - Detect new user AWS Console Login - DM - Rule","This search looks for CloudTrail events wherein a console login event by a user was recorded within the last hour, then compares the event to a lookup file of previously seen users (by ARN values) who have logged into the console. The alert is fired if the user has logged into the console for the first time within the last hour","
 tstats earliest(_time) as firstTime latest(_time) as lastTime from datamodel=Authentication where Authentication.signature=ConsoleLogin by Authentication.user 
 `drop_dm_object_name(Authentication)` 
 inputlookup append=t previously_seen_users_console_logins.csv 
 stats min(firstTime) as firstTime max(lastTime) as lastTime by user 
 eval userStatus=if(firstTime >=relative_time(now(), '-70m@m'), 'First Time Logging into AWS Console','Previously Seen User')
 `security_content_ctime(firstTime)` 
 `security_content_ctime(lastTime)`
 `detect_new_user_aws_console_login___dm_filter`"
"ESCU - Detect Oulook exe writing a  zip file - Rule","This search looks for execution of process `outlook.exe` where the process is writing a `.zip` file to the disk.","
 tstats `security_content_summariesonly`  min(_time) as firstTime max(_time) as lastTime FROM datamodel=Endpoint.Processes where Processes.process_name=outlook.exe OR Processes.process_name=explorer.exe by _time span=5m Processes.parent_process_id Processes.process_id Processes.dest Processes.process_name Processes.parent_process_name Processes.user 
 `drop_dm_object_name(Processes)` 
 `security_content_ctime(firstTime)` 
 `security_content_ctime(lastTime)` 
 rename process_id as malicious_id
 rename parent_process_id as outlook_id
 join malicious_id type=inner[
 tstats `security_content_summariesonly` count values(Filesystem.file_path) as file_path values(Filesystem.file_name) as file_name  FROM datamodel=Endpoint.Filesystem where (Filesystem.file_path=*zip*   OR Filesystem.file_name=*.lnk ) AND (Filesystem.file_path=C:\\Users* OR Filesystem.file_path=*Local\\Temp*) by  _time span=5m Filesystem.process_id Filesystem.file_hash Filesystem.dest  
 `drop_dm_object_name(Filesystem)` 
 `security_content_ctime(firstTime)` 
 `security_content_ctime(lastTime)` 
 rename process_id as malicious_id
 fields malicious_id outlook_id dest file_path file_name file_hash count file_id] 
 table firstTime lastTime user malicious_id outlook_id process_name parent_process_name file_name  file_path 
 where file_name != """" 
 `detect_oulook_exe_writing_a__zip_file_filter`"
"ESCU - Detect Outbound SMB Traffic - Rule","This search looks for outbound SMB connections made by hosts within your network to the Internet. SMB traffic is used for Windows file-sharing activity. One of the techniques often used by attackers involves retrieving the credential hash using an SMB request made to a compromised server controlled by the threat actor.","
 tstats `security_content_summariesonly` count earliest(_time) as earliest latest(_time) as latest values(All_Traffic.action) from datamodel=Network_Traffic where All_Traffic.action !=blocked All_Traffic.dest_category !=internal (All_Traffic.dest_port=139 OR All_Traffic.dest_port=445 OR All_Traffic.app=smb) by All_Traffic.src_ip All_Traffic.dest_ip 
 `drop_dm_object_name(""All_Traffic"")` 
 search ( dest_ip!=10.0.0.0/8 AND dest_ip!=172.16.0.0/12 AND dest_ip!=192.168.0.0/16) 
 `security_content_ctime(earliest)`
 `security_content_ctime(latest)` 
 `detect_outbound_smb_traffic_filter`"
"ESCU - Detect Path Interception By Creation Of program exe - Rule","The detection Detect Path Interception By Creation Of program exe is detecting the abuse of unquoted service paths, which is a popular technique for privilege escalation.","
 tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime from datamodel=Endpoint.Processes where Processes.parent_process_name=services.exe by Processes.user Processes.process_name Processes.process Processes.dest 
 `drop_dm_object_name(Processes)` 
 rex field=process ""^.*\\\\(?<service_process>.*\.(?:exe
bat
com
ps1))"" 
 eval process_name = lower(process_name) 
 eval service_process = lower(service_process)
 where process_name != service_process 
 `security_content_ctime(firstTime)`
 `security_content_ctime(lastTime)` 
 `detect_path_interception_by_creation_of_program_exe_filter`"
"ESCU - Detect processes used for System Network Configuration Discovery - Rule","This search looks for fast execution of processes used for system network configuration discovery on the endpoint.","
 tstats `security_content_summariesonly` count values(Processes.process) as process values(Processes.parent_process) as parent_process min(_time) as firstTime max(_time) as lastTime from datamodel=Endpoint.Processes by Processes.dest Processes.process_name Processes.user _time 
 `security_content_ctime(firstTime)` 
 `security_content_ctime(lastTime)` 
 `drop_dm_object_name(Processes)` 
 search `system_network_configuration_discovery_tools` 
 transaction dest connected=false maxpause=5m 
where eventcount>=5 
 table firstTime lastTime dest user process_name process parent_process eventcount 
 `detect_processes_used_for_system_network_configuration_discovery_filter`"
"ESCU - Detect Prohibited Applications Spawning cmd exe - Rule","This search looks for executions of cmd.exe spawned by a process that is often abused by attackers and that does not typically launch cmd.exe.","
 tstats `security_content_summariesonly` count values(Processes.process) as process min(_time) as firstTime max(_time) as lastTime from datamodel=Endpoint.Processes where Processes.process_name=cmd.exe by Processes.parent_process_name Processes.process_name Processes.dest Processes.user
 `drop_dm_object_name(Processes)` 
 `security_content_ctime(firstTime)`
 `security_content_ctime(lastTime)` 
search [`prohibited_apps_launching_cmd`] 
 `detect_prohibited_applications_spawning_cmd_exe_filter`"
"ESCU - Detect PsExec With accepteula Flag - Rule","This search looks for events where `PsExec.exe` is run with the `accepteula` flag in the command line. PsExec is a built-in Windows utility that enables you to execute processes on other systems. It is fully interactive for console applications. This tool is widely used for launching interactive command prompts on remote systems. Threat actors leverage this extensively for executing code on compromised systems. If an attacker is running PsExec for the first time, they will be prompted to accept the end-user license agreement (EULA), which can be passed as the argument `accepteula` within the command line.","
 tstats `security_content_summariesonly` values(Processes.process) as process min(_time) as firstTime max(_time) as lastTime from datamodel=Endpoint.Processes where Processes.process_name = PsExec.exe Processes.process = ""*accepteula*"" by Processes.process_name Processes.dest  Processes.parent_process_name 
 `drop_dm_object_name(Processes)`
 `security_content_ctime(firstTime)`
 `security_content_ctime(lastTime)` 
 `detect_psexec_with_accepteula_flag_filter`"
"ESCU - Detect Rare Executables - Rule","This search will return a table of rare processes, the names of the systems running them, and the users who initiated each process.","
 tstats `security_content_summariesonly` count values(Processes.dest) as dest values(Processes.user) as user min(_time) as firstTime max(_time) as lastTime from datamodel=Endpoint.Processes by Processes.process_name  
 rename Processes.process_name as process 
 rex field=user ""(?<user_domain>.*)\\\\(?<user_name>.*)"" 
 `security_content_ctime(firstTime)`
 `security_content_ctime(lastTime)`
 search [
 tstats count from datamodel=Endpoint.Processes by Processes.process_name 
 rare Processes.process_name limit=30 
 rename Processes.process_name as process
 `filter_rare_process_whitelist`
 table process ] 
 `detect_rare_executables_filter`"
"ESCU - Detect Unauthorized Assets by MAC address - Rule","By populating the organization's assets within the assets_by_str.csv, we will be able to detect unauthorized devices that are trying to connect with the organization's network by inspecting DHCP request packets, which are issued by devices when they attempt to obtain an IP address from the DHCP server. The MAC address associated with the source of the DHCP request is checked against the list of known devices, and reports on those that are not found.","
 tstats `security_content_summariesonly` count from datamodel=Network_Sessions where nodename=All_Sessions.DHCP All_Sessions.signature=DHCPREQUEST by All_Sessions.src_ip All_Sessions.src_mac 
 dedup All_Sessions.src_mac
 `drop_dm_object_name(""Network_Sessions"")`
`drop_dm_object_name(""All_Sessions"")` 
 search NOT [
 inputlookup asset_lookup_by_str 
rename mac as src_mac 
 fields + src_mac] 
 `detect_unauthorized_assets_by_mac_address_filter`"
"ESCU - Detect USB device insertion - Rule","The search is used to detect hosts that generate Windows Event ID 4663 for successful attempts to write to or read from a removable storage and Event ID 4656 for failures, which occurs when a USB drive is plugged in. In this scenario we are querying the Change_Analysis data model to look for Windows Event ID 4656 or 4663 where the priority of the affected host is marked as high in the ES Assets and Identity Framework.","
 tstats `security_content_summariesonly` count earliest(_time) AS earliest latest(_time) AS latest from datamodel=Change_Analysis where (nodename = All_Changes) All_Changes.result=""Removable Storage device"" (All_Changes.result_id=4663 OR All_Changes.result_id=4656) (All_Changes.src_priority=high) by All_Changes.dest 
 `drop_dm_object_name(""All_Changes"")`
 `security_content_ctime(earliest)`
 `security_content_ctime(latest)`  
 `detect_usb_device_insertion_filter`"
"ESCU - Detect Use of cmd exe to Launch Script Interpreters - Rule","This search looks for the execution of the cscript.exe or wscript.exe processes, with a parent of cmd.exe. The search will return the count, the first and last time this execution was seen on a machine, the user, and the destination of the machine","
 tstats `security_content_summariesonly` count values(Processes.process) min(_time) as firstTime max(_time) as lastTime from datamodel=Endpoint.Processes where Processes.parent_process_name=""cmd.exe"" (Processes.process_name=cscript.exe OR Processes.process_name =wscript.exe) by Processes.parent_process Processes.process_name Processes.user Processes.dest 
 `drop_dm_object_name(""Processes"")` 
 `security_content_ctime(firstTime)`
`security_content_ctime(lastTime)` 
 `detect_use_of_cmd_exe_to_launch_script_interpreters_filter`"
"ESCU - Detect web traffic to dynamic domain providers - Rule","This search looks for web connections to dynamic DNS providers.","
 tstats `security_content_summariesonly` count values(Web.url) as url min(_time) as firstTime from datamodel=Web where Web.status=200 by Web.src Web.dest Web.status 
 `drop_dm_object_name(""Web"")` 
 `security_content_ctime(firstTime)` 
 `dynamic_dns_web_traffic` 
 `detect_web_traffic_to_dynamic_domain_providers_filter`"
"ESCU - Detect Windows DNS SIGRed via Zeek - Rule","This search detects SIGRed via Zeek DNS and Zeek Conn data.","
 tstats `security_content_summariesonly` count from datamodel=Network_Resolution where DNS.query_type IN (SIG,KEY) by DNS.flow_id 
 rename DNS.flow_id as flow_id 
 append [
 tstats  `security_content_summariesonly` count from datamodel=Network_Traffic where All_Traffic.bytes_in>65000 by All_Traffic.flow_id 
 rename All_Traffic.flow_id as flow_id] 
 `detect_windows_dns_sigred_via_zeek_filter` 
 stats count by flow_id 
 where count>1 
 fields - count"
"ESCU - Detection of DNS Tunnels - Rule","This search is used to detect DNS tunneling, by calculating the sum of the length of DNS queries and DNS answers. The search also filters out potential false positives by filtering out queries made to internal systems and the queries originating from internal DNS, Web, and Email servers. Endpoints using DNS as a method of transmission for data exfiltration, command and control, or evasion of security controls can often be detected by noting an unusually large volume of DNS traffic.","
 tstats `security_content_summariesonly` dc(""DNS.query"") as count  from datamodel=Network_Resolution  where nodename=DNS ""DNS.message_type""=""QUERY"" NOT (`cim_corporate_web_domain_search(""DNS.query"")`) NOT ""DNS.query""=""*.in-addr.arpa"" NOT (""DNS.src_category""=""svc_infra_dns"" OR ""DNS.src_category""=""svc_infra_webproxy"" OR ""DNS.src_category""=""svc_infra_email*""   ) by ""DNS.src"",""DNS.query"" 
 rename ""DNS.src"" as src  ""DNS.query"" as message 
 eval length=len(message) 
 stats sum(length) as length by src 
 append [ tstats `security_content_summariesonly` dc(""DNS.answer"") as count  from datamodel=Network_Resolution  where nodename=DNS ""DNS.message_type""=""QUERY"" NOT (`cim_corporate_web_domain_search(""DNS.query"")`) NOT ""DNS.query""=""*.in-addr.arpa"" NOT (""DNS.src_category""=""svc_infra_dns"" OR ""DNS.src_category""=""svc_infra_webproxy"" OR ""DNS.src_category""=""svc_infra_email*""   ) by ""DNS.src"",""DNS.answer"" 
 rename ""DNS.src"" as src  ""DNS.answer"" as message 
 eval message=if(message==""unknown"","""", message) 
 eval length=len(message) 
 stats sum(length) as length by src ] 
 stats sum(length) as length by src 
 where length > 10000 
 `detection_of_dns_tunnels_filter`         
 collect index=asx sourcetype=asx marker=""mitre_id=T1071.004, execution_type=adhoc, execution_time=1604093561.9819374"""
"ESCU - Detection of tools built by NirSoft - Rule","This search looks for specific command-line arguments that may indicate the execution of tools made by Nirsoft, which are legitimate, but may be abused by attackers.","
 tstats `security_content_summariesonly` count min(_time) values(Processes.process) as process max(_time) as lastTime from datamodel=Endpoint.Processes where (Processes.process=""* /stext *"" OR Processes.process=""* /scomma *"" ) by Processes.parent_process Processes.process_name Processes.user 
 `drop_dm_object_name(Processes)` 
 `security_content_ctime(firstTime)` 
`security_content_ctime(lastTime)` 
 `detection_of_tools_built_by_nirsoft_filter`"
"ESCU - Disabling Remote User Account Control - Rule","The search looks for modifications to registry keys that control the enforcement of Windows User Account Control (UAC).","
 tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime FROM datamodel=Endpoint.Registry where Registry.registry_path=""*Windows\\CurrentVersion\\Policies\\System\\LocalAccountTokenFilterPolicy"" by Registry.dest, Registry.registry_key_name Registry.user Registry.registry_path Registry.action 
 `drop_dm_object_name(Registry)` 
 `disabling_remote_user_account_control_filter`"
"ESCU - Discover DNS records","The search takes corporate and common cloud provider domains configured under `cim_corporate_email_domains.csv`, `cim_corporate_web_domains.csv`, and `cloud_domains.csv` finds their responses across the last 30 days from data in the `Network_Resolution ` datamodel, then stores the output under the `discovered_dns_records.csv` lookup","
 inputlookup cim_corporate_email_domains.csv 
 inputlookup append=T cim_corporate_web_domains.csv 
 inputlookup append=T cim_cloud_domains.csv 
 eval domain = trim(replace(domain, ""\*"", """")) 
 join domain [
tstats `security_content_summariesonly` count values(DNS.record_type) as type, values(DNS.answer) as answer from datamodel=Network_Resolution where DNS.message_type=RESPONSE DNS.answer!=""unknown"" DNS.answer!="""" by DNS.query 
 rename DNS.query as query 
 where query!=""unknown"" 
 rex field=query ""(?<domain>\w+\.\w+?)(?:$
/)""] 
 makemv delim="" "" answer 
makemv delim="" "" type 
 sort -count 
 table count,domain,type,query,answer 
 outputlookup createinapp=true discovered_dns_records.csv"
"ESCU - DNS Query Length Outliers - MLTK - Rule","This search allows you to identify DNS requests that are unusually large for the record type being requested in your environment.","
 tstats `security_content_summariesonly` count min(_time) as start_time max(_time) as end_time values(DNS.src) as src values(DNS.dest) as dest from datamodel=Network_Resolution by DNS.query DNS.record_type 
 search DNS.record_type=* 
`drop_dm_object_name(DNS)` 
 `security_content_ctime(firstTime)` 
 `security_content_ctime(lastTime)` 
 eval query_length = len(query) 
 apply dns_query_pdfmodel threshold=0.01 
 rename ""IsOutlier(query_length)"" as isOutlier 
 search isOutlier > 0 
 sort -query_length 
 table start_time end_time query record_type count src dest query_length 
 `dns_query_length_outliers___mltk_filter`         
 collect index=asx sourcetype=asx marker=""mitre_id=T1071.004, execution_type=adhoc, execution_time=1604093561.9819374"""
"ESCU - DNS Query Length With High Standard Deviation - Rule","This search allows you to identify DNS requests and compute the standard deviation on the length of the names being resolved, then filter on two times the standard deviation to show you those queries that are unusually large for your environment.","
 tstats `security_content_summariesonly` count from datamodel=Network_Resolution by DNS.query DNS.record_type 
`drop_dm_object_name(""DNS"")` 
 eval query_length = len(query) 
 table query query_length record_type count 
 eventstats stdev(query_length) AS stdev avg(query_length) AS avg p50(query_length) AS p50
 where query_length>(avg+stdev*2) 
 eval z_score=(query_length-avg)/stdev 
 `dns_query_length_with_high_standard_deviation_filter`         
 collect index=asx sourcetype=asx marker=""mitre_id=T1071.004, execution_type=adhoc, execution_time=1604093561.9819374"""
"ESCU - DNS Query Requests Resolved by Unauthorized DNS Servers - Rule","This search will detect DNS requests resolved by unauthorized DNS servers. Legitimate DNS servers should be identified in the Enterprise Security Assets and Identity Framework.","
 tstats `security_content_summariesonly` count from datamodel=Network_Resolution where DNS.dest_category != dns_server AND DNS.src_category != dns_server by DNS.src DNS.dest 
 `drop_dm_object_name(""DNS"")` 
 `dns_query_requests_resolved_by_unauthorized_dns_servers_filter`         
 collect index=asx sourcetype=asx marker=""mitre_id=T1071.004, execution_type=adhoc, execution_time=1604093561.9819374"""
"ESCU - DNS record changed - Rule","The search takes the DNS records and their answers results of the discovered_dns_records lookup and finds if any records have changed by searching DNS response from the Network_Resolution datamodel across the last day.","
 inputlookup discovered_dns_records.csv 
 rename answer as discovered_answer 
 join domain[
tstats `security_content_summariesonly` count values(DNS.record_type) as type, values(DNS.answer) as current_answer values(DNS.src) as src from datamodel=Network_Resolution where DNS.message_type=RESPONSE DNS.answer!=""unknown"" DNS.answer!="""" by DNS.query 
 rename DNS.query as query 
 where query!=""unknown"" 
 rex field=query ""(?<domain>\w+\.\w+?)(?:$
/)""] 
 makemv delim="" "" answer 
makemv delim="" "" type 
 sort -count 
 table count,src,domain,type,query,current_answer,discovered_answer 
 makemv current_answer  
 mvexpand current_answer 
 makemv discovered_answer 
 eval n=mvfind(discovered_answer, current_answer) 
 where isnull(n) 
 `dns_record_changed_filter`"
"ESCU - Dump LSASS via comsvcs DLL - Rule","Detect the usage of comsvcs.dll for dumping the lsass process.","
 tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime from datamodel=Endpoint.Processes where Processes.process_name=rundll32.exe Processes.process=*comsvcs.dll* Processes.process=*MiniDump* by Processes.user Processes.process_name Processes.process Processes.dest 
 `drop_dm_object_name(Processes)` 
 `security_content_ctime(firstTime)` 
 `security_content_ctime(lastTime)` 
 `dump_lsass_via_comsvcs_dll_filter`"
"ESCU - Email Attachments With Lots Of Spaces - Rule","Attackers often use spaces as a means to obfuscate an attachment's file extension. This search looks for messages with email attachments that have many spaces within the file names.","
 tstats `security_content_summariesonly` count values(All_Email.recipient) as recipient_address min(_time) as firstTime max(_time) as lastTime from datamodel=Email where All_Email.file_name=""*"" by All_Email.src_user, All_Email.file_name All_Email.message_id 
 `security_content_ctime(firstTime)` 
 `security_content_ctime(lastTime)` 
 `drop_dm_object_name(""All_Email"")` 
 eval space_ratio = (mvcount(split(file_name,"" ""))-1)/len(file_name) 
 search space_ratio >= 0.1 
rex field=recipient_address ""(?<recipient_user>.*)@"" 
 `email_attachments_with_lots_of_spaces_filter`"
"ESCU - Email files written outside of the Outlook directory - Rule","The search looks at the change-analysis data model and detects email files created outside the normal Outlook directory.","
 tstats `security_content_summariesonly` count values(Filesystem.file_path) as file_path min(_time) as firstTime max(_time) as lastTime from datamodel=Endpoint.Filesystem where (Filesystem.file_name=*.pst OR Filesystem.file_name=*.ost) Filesystem.file_path != ""C:\\Users\\*\\My Documents\\Outlook Files\\*""  Filesystem.file_path!=""C:\\Users\\*\\AppData\\Local\\Microsoft\\Outlook*"" by Filesystem.action Filesystem.process_id Filesystem.file_name Filesystem.dest 
 `drop_dm_object_name(""Filesystem"")` 
 `security_content_ctime(firstTime)` 
 `security_content_ctime(lastTime)`
 `email_files_written_outside_of_the_outlook_directory_filter`"
"ESCU - Email servers sending high volume traffic to hosts - Rule","This search looks for an increase of data transfers from your email server to your clients. This could be indicative of a malicious actor collecting data using your email server.","
 tstats `security_content_summariesonly` sum(All_Traffic.bytes_out) as bytes_out from datamodel=Network_Traffic where All_Traffic.src_category=email_server by All_Traffic.dest_ip _time span=1d 
 `drop_dm_object_name(""All_Traffic"")` 
 eventstats avg(bytes_out) as avg_bytes_out stdev(bytes_out) as stdev_bytes_out 
 eventstats count as num_data_samples avg(eval(if(_time < relative_time(now(), ""@d""), bytes_out, null))) as per_source_avg_bytes_out stdev(eval(if(_time < relative_time(now(), ""@d""), bytes_out, null))) as per_source_stdev_bytes_out by dest_ip 
 eval minimum_data_samples = 4, deviation_threshold = 3 
 where num_data_samples >= minimum_data_samples AND bytes_out > (avg_bytes_out + (deviation_threshold * stdev_bytes_out)) AND bytes_out > (per_source_avg_bytes_out + (deviation_threshold * per_source_stdev_bytes_out)) AND _time >= relative_time(now(), ""@d"") 
 eval num_standard_deviations_away_from_server_average = round(abs(bytes_out - avg_bytes_out) / stdev_bytes_out, 2), num_standard_deviations_away_from_client_average = round(abs(bytes_out - per_source_avg_bytes_out) / per_source_stdev_bytes_out, 2) 
 table dest_ip, _time, bytes_out, avg_bytes_out, per_source_avg_bytes_out, num_standard_deviations_away_from_server_average, num_standard_deviations_away_from_client_average 
 `email_servers_sending_high_volume_traffic_to_hosts_filter`"
"ESCU - Excessive DNS Failures - Rule","This search identifies DNS query failures by counting the number of DNS responses that do not indicate success, and trigger on more than 50 occurrences.","
 tstats `security_content_summariesonly` count values(""DNS.query"") as queries from datamodel=Network_Resolution where nodename=DNS ""DNS.reply_code""!=""No Error"" ""DNS.reply_code""!=""NoError"" DNS.reply_code!=""unknown"" NOT ""DNS.query""=""*.arpa"" ""DNS.query""=""*.*"" by ""DNS.src"",""DNS.query""
 `drop_dm_object_name(""DNS"")`
 lookup cim_corporate_web_domain_lookup domain as query OUTPUT domain
 where isnull(domain)
 lookup update=true alexa_lookup_by_str domain as query OUTPUT rank
 where isnull(rank)
 stats sum(count) as count mode(queries) as queries by src
 `get_asset(src)`
 where count>50 
 `excessive_dns_failures_filter`         
 collect index=asx sourcetype=asx marker=""mitre_id=T1071.004, execution_type=adhoc, execution_time=1604093561.9819374"""
